EXDAY	FIRSTOFMONTH
19-OCT-18	01-OCT-18
16-NOV-18	01-NOV-18
21-DEC-18	01-DEC-18
18-JAN-19	01-JAN-19
15-FEB-19	01-FEB-19
15-MAR-19	01-MAR-19
19-APR-19	01-APR-19
17-MAY-19	01-MAY-19
21-JUN-19	01-JUN-19
19-JUL-19	01-JUL-19
16-AUG-19	01-AUG-19
20-SEP-19	01-SEP-19
18-OCT-19	01-OCT-19
15-NOV-19	01-NOV-19
20-DEC-19	01-DEC-19
17-JAN-20	01-JAN-20
21-FEB-20	01-FEB-20
20-MAR-20	01-MAR-20
17-APR-20	01-APR-20
15-MAY-20	01-MAY-20
19-JUN-20	01-JUN-20
17-JUL-20	01-JUL-20
21-AUG-20	01-AUG-20
18-SEP-20	01-SEP-20
16-OCT-20	01-OCT-20
20-NOV-20	01-NOV-20
18-DEC-20	01-DEC-20
19-JAN-90	01-JAN-90
16-FEB-90	01-FEB-90
16-MAR-90	01-MAR-90
20-APR-90	01-APR-90
18-MAY-90	01-MAY-90
15-JUN-90	01-JUN-90
20-JUL-90	01-JUL-90
17-AUG-90	01-AUG-90
21-SEP-90	01-SEP-90
19-OCT-90	01-OCT-90
16-NOV-90	01-NOV-90
21-DEC-90	01-DEC-90
17-JAN-91	01-JAN-91
15-FEB-91	01-FEB-91
15-MAR-91	01-MAR-91
19-APR-91	01-APR-91
17-MAY-91	01-MAY-91
21-JUN-91	01-JUN-91
19-JUL-91	01-JUL-91
16-AUG-91	01-AUG-91
20-SEP-91	01-SEP-91
18-OCT-91	01-OCT-91
15-NOV-91	01-NOV-91
20-DEC-91	01-DEC-91
17-JAN-92	01-JAN-92
21-FEB-92	01-FEB-92
20-MAR-92	01-MAR-92
16-APR-92	01-APR-92
15-MAY-92	01-MAY-92
19-JUN-92	01-JUN-92
17-JUL-92	01-JUL-92
21-AUG-92	01-AUG-92
18-SEP-92	01-SEP-92
16-OCT-92	01-OCT-92
20-NOV-92	01-NOV-92
18-DEC-92	01-DEC-92
15-JAN-93	01-JAN-93
19-FEB-93	01-FEB-93
19-MAR-93	01-MAR-93
16-APR-93	01-APR-93
21-MAY-93	01-MAY-93
18-JUN-93	01-JUN-93
16-JUL-93	01-JUL-93
20-AUG-93	01-AUG-93
17-SEP-93	01-SEP-93
15-OCT-93	01-OCT-93
19-NOV-93	01-NOV-93
17-DEC-93	01-DEC-93
21-JAN-94	01-JAN-94
18-FEB-94	01-FEB-94
18-MAR-94	01-MAR-94
15-APR-94	01-APR-94
20-MAY-94	01-MAY-94
17-JUN-94	01-JUN-94
15-JUL-94	01-JUL-94
19-AUG-94	01-AUG-94
16-SEP-94	01-SEP-94
21-OCT-94	01-OCT-94
18-NOV-94	01-NOV-94
16-DEC-94	01-DEC-94
20-JAN-95	01-JAN-95
17-FEB-95	01-FEB-95
17-MAR-95	01-MAR-95
21-APR-95	01-APR-95
19-MAY-95	01-MAY-95
16-JUN-95	01-JUN-95
21-JUL-95	01-JUL-95
18-AUG-95	01-AUG-95
15-SEP-95	01-SEP-95
20-OCT-95	01-OCT-95
17-NOV-95	01-NOV-95
15-DEC-95	01-DEC-95
19-JAN-96	01-JAN-96
16-FEB-96	01-FEB-96
15-MAR-96	01-MAR-96
19-APR-96	01-APR-96
17-MAY-96	01-MAY-96
21-JUN-96	01-JUN-96
19-JUL-96	01-JUL-96
16-AUG-96	01-AUG-96
20-SEP-96	01-SEP-96
18-OCT-96	01-OCT-96
15-NOV-96	01-NOV-96
20-DEC-96	01-DEC-96
17-JAN-97	01-JAN-97
21-FEB-97	01-FEB-97
21-MAR-97	01-MAR-97
18-APR-97	01-APR-97
16-MAY-97	01-MAY-97
20-JUN-97	01-JUN-97
18-JUL-97	01-JUL-97
15-AUG-97	01-AUG-97
19-SEP-97	01-SEP-97
17-OCT-97	01-OCT-97
21-NOV-97	01-NOV-97
19-DEC-97	01-DEC-97
16-JAN-98	01-JAN-98
20-FEB-98	01-FEB-98
20-MAR-98	01-MAR-98
17-APR-98	01-APR-98
15-MAY-98	01-MAY-98
19-JUN-98	01-JUN-98
17-JUL-98	01-JUL-98
21-AUG-98	01-AUG-98
18-SEP-98	01-SEP-98
16-OCT-98	01-OCT-98
20-NOV-98	01-NOV-98
18-DEC-98	01-DEC-98
15-JAN-99	01-JAN-99
19-FEB-99	01-FEB-99
19-MAR-99	01-MAR-99
16-APR-99	01-APR-99
21-MAY-99	01-MAY-99
18-JUN-99	01-JUN-99
16-JUL-99	01-JUL-99
20-AUG-99	01-AUG-99
17-SEP-99	01-SEP-99
15-OCT-99	01-OCT-99
19-NOV-99	01-NOV-99
17-DEC-99	01-DEC-99
21-JAN-00	01-JAN-00
18-FEB-00	01-FEB-00
17-MAR-00	01-MAR-00
20-APR-00	01-APR-00
19-MAY-00	01-MAY-00
16-JUN-00	01-JUN-00
21-JUL-00	01-JUL-00
18-AUG-00	01-AUG-00
15-SEP-00	01-SEP-00
20-OCT-00	01-OCT-00
17-NOV-00	01-NOV-00
15-DEC-00	01-DEC-00
19-JAN-01	01-JAN-01
16-FEB-01	01-FEB-01
16-MAR-01	01-MAR-01
20-APR-01	01-APR-01
18-MAY-01	01-MAY-01
15-JUN-01	01-JUN-01
20-JUL-01	01-JUL-01
17-AUG-01	01-AUG-01
21-SEP-01	01-SEP-01
19-OCT-01	01-OCT-01
16-NOV-01	01-NOV-01
21-DEC-01	01-DEC-01
18-JAN-02	01-JAN-02
15-FEB-02	01-FEB-02
15-MAR-02	01-MAR-02
19-APR-02	01-APR-02
17-MAY-02	01-MAY-02
21-JUN-02	01-JUN-02
19-JUL-02	01-JUL-02
16-AUG-02	01-AUG-02
20-SEP-02	01-SEP-02
18-OCT-02	01-OCT-02
15-NOV-02	01-NOV-02
20-DEC-02	01-DEC-02
17-JAN-03	01-JAN-03
21-FEB-03	01-FEB-03
21-MAR-03	01-MAR-03
17-APR-03	01-APR-03
16-MAY-03	01-MAY-03
20-JUN-03	01-JUN-03
18-JUL-03	01-JUL-03
15-AUG-03	01-AUG-03
19-SEP-03	01-SEP-03
17-OCT-03	01-OCT-03
21-NOV-03	01-NOV-03
19-DEC-03	01-DEC-03
16-JAN-04	01-JAN-04
20-FEB-04	01-FEB-04
19-MAR-04	01-MAR-04
16-APR-04	01-APR-04
21-MAY-04	01-MAY-04
18-JUN-04	01-JUN-04
16-JUL-04	01-JUL-04
20-AUG-04	01-AUG-04
17-SEP-04	01-SEP-04
15-OCT-04	01-OCT-04
19-NOV-04	01-NOV-04
17-DEC-04	01-DEC-04
21-JAN-05	01-JAN-05
18-FEB-05	01-FEB-05
18-MAR-05	01-MAR-05
15-APR-05	01-APR-05
20-MAY-05	01-MAY-05
17-JUN-05	01-JUN-05
15-JUL-05	01-JUL-05
19-AUG-05	01-AUG-05
16-SEP-05	01-SEP-05
21-OCT-05	01-OCT-05
18-NOV-05	01-NOV-05
16-DEC-05	01-DEC-05
20-JAN-06	01-JAN-06
17-FEB-06	01-FEB-06
17-MAR-06	01-MAR-06
21-APR-06	01-APR-06
19-MAY-06	01-MAY-06
16-JUN-06	01-JUN-06
21-JUL-06	01-JUL-06
18-AUG-06	01-AUG-06
15-SEP-06	01-SEP-06
20-OCT-06	01-OCT-06
17-NOV-06	01-NOV-06
15-DEC-06	01-DEC-06
19-JAN-07	01-JAN-07
16-FEB-07	01-FEB-07
16-MAR-07	01-MAR-07
20-APR-07	01-APR-07
18-MAY-07	01-MAY-07
15-JUN-07	01-JUN-07
20-JUL-07	01-JUL-07
17-AUG-07	01-AUG-07
21-SEP-07	01-SEP-07
19-OCT-07	01-OCT-07
16-NOV-07	01-NOV-07
21-DEC-07	01-DEC-07
18-JAN-08	01-JAN-08
15-FEB-08	01-FEB-08
21-MAR-08	01-MAR-08
18-APR-08	01-APR-08
16-MAY-08	01-MAY-08
20-JUN-08	01-JUN-08
18-JUL-08	01-JUL-08
15-AUG-08	01-AUG-08
19-SEP-08	01-SEP-08
17-OCT-08	01-OCT-08
21-NOV-08	01-NOV-08
19-DEC-08	01-DEC-08
16-JAN-09	01-JAN-09
20-FEB-09	01-FEB-09
20-MAR-09	01-MAR-09
17-APR-09	01-APR-09
15-MAY-09	01-MAY-09
19-JUN-09	01-JUN-09
17-JUL-09	01-JUL-09
21-AUG-09	01-AUG-09
18-SEP-09	01-SEP-09
16-OCT-09	01-OCT-09
20-NOV-09	01-NOV-09
18-DEC-09	01-DEC-09
15-JAN-10	01-JAN-10
19-FEB-10	01-FEB-10
19-MAR-10	01-MAR-10
16-APR-10	01-APR-10
21-MAY-10	01-MAY-10
18-JUN-10	01-JUN-10
16-JUL-10	01-JUL-10
20-AUG-10	01-AUG-10
17-SEP-10	01-SEP-10
15-OCT-10	01-OCT-10
19-NOV-10	01-NOV-10
17-DEC-10	01-DEC-10
21-JAN-11	01-JAN-11
18-FEB-11	01-FEB-11
18-MAR-11	01-MAR-11
15-APR-11	01-APR-11
20-MAY-11	01-MAY-11
17-JUN-11	01-JUN-11
15-JUL-11	01-JUL-11
19-AUG-11	01-AUG-11
16-SEP-11	01-SEP-11
21-OCT-11	01-OCT-11
18-NOV-11	01-NOV-11
16-DEC-11	01-DEC-11
20-JAN-12	01-JAN-12
17-FEB-12	01-FEB-12
16-MAR-12	01-MAR-12
20-APR-12	01-APR-12
18-MAY-12	01-MAY-12
15-JUN-12	01-JUN-12
20-JUL-12	01-JUL-12
17-AUG-12	01-AUG-12
21-SEP-12	01-SEP-12
19-OCT-12	01-OCT-12
16-NOV-12	01-NOV-12
21-DEC-12	01-DEC-12
18-JAN-13	01-JAN-13
15-FEB-13	01-FEB-13
15-MAR-13	01-MAR-13
19-APR-13	01-APR-13
17-MAY-13	01-MAY-13
21-JUN-13	01-JUN-13
19-JUL-13	01-JUL-13
16-AUG-13	01-AUG-13
20-SEP-13	01-SEP-13
18-OCT-13	01-OCT-13
15-NOV-13	01-NOV-13
20-DEC-13	01-DEC-13
17-JAN-14	01-JAN-14
21-FEB-14	01-FEB-14
21-MAR-14	01-MAR-14
18-APR-14	01-APR-14
16-MAY-14	01-MAY-14
20-JUN-14	01-JUN-14
18-JUL-14	01-JUL-14
15-AUG-14	01-AUG-14
19-SEP-14	01-SEP-14
17-OCT-14	01-OCT-14
21-NOV-14	01-NOV-14
19-DEC-14	01-DEC-14
16-JAN-15	01-JAN-15
20-FEB-15	01-FEB-15
20-MAR-15	01-MAR-15
17-APR-15	01-APR-15
15-MAY-15	01-MAY-15
19-JUN-15	01-JUN-15
